timestamp,open,high,low,close,volume
2026-02-05 16:00,658.56,673.96,656.01,669.91,31427.565
2026-02-05 17:00,669.92,671.36,652.15,654.74,21514.057
2026-02-05 18:00,654.75,658.46,631.09,653.68,61513.385
2026-02-05 19:00,653.68,654.62,638.11,641.19,16224.117
2026-02-05 20:00,641.28,645.15,611.35,617.21,123296.082
2026-02-05 21:00,617.22,631.48,606.01,610.83,103743.591
2026-02-05 22:00,610.83,624.39,602.17,617.03,39855.094
2026-02-05 23:00,617.04,628.1,604.52,608.3,21873.182
2026-02-06 00:00,608.3,620.59,570.06,614.51,162002.892
2026-02-06 01:00,614.52,630.0,613.43,629.91,31447.594
2026-02-06 02:00,629.92,634.0,618.99,622.53,24518.232
2026-02-06 03:00,622.53,625.33,611.57,615.11,21821.952
2026-02-06 04:00,615.1,624.66,613.1,620.43,21023.431
2026-02-06 05:00,620.43,642.49,619.77,639.38,30848.787
2026-02-06 06:00,639.39,642.04,625.93,626.48,19672.786
2026-02-06 07:00,626.48,629.1,620.75,623.05,15986.649
2026-02-06 08:00,623.06,625.79,617.0,619.61,17712.808
2026-02-06 09:00,619.61,631.49,617.15,629.46,19816.67
2026-02-06 10:00,629.47,636.12,627.24,633.58,10138.35
2026-02-06 11:00,633.58,638.48,632.13,636.17,9425.777
2026-02-06 12:00,636.16,637.13,632.45,636.73,6093.875
2026-02-06 13:00,636.73,647.76,636.09,643.75,15941.573
2026-02-06 14:00,643.75,654.76,638.01,650.45,29410.48
2026-02-06 15:00,650.45,654.54,644.33,651.2,21472.741
2026-02-06 16:00,651.19,663.0,649.06,659.46,27586.566
2026-02-06 17:00,659.46,669.65,657.11,661.95,33213.151
2026-02-06 18:00,661.95,662.6,648.94,654.02,19489.641
2026-02-06 19:00,654.02,660.22,652.33,658.82,11278.361
2026-02-06 20:00,658.83,665.47,655.82,657.14,13296.008
2026-02-06 21:00,657.15,664.64,654.87,662.35,12815.617
2026-02-06 22:00,662.35,667.41,660.44,665.53,9306.0
2026-02-06 23:00,665.53,668.57,657.11,657.21,9002.652
2026-02-07 00:00,657.21,657.23,651.71,653.1,11003.834
2026-02-07 01:00,653.1,658.06,650.18,657.7,6834.197
2026-02-07 02:00,657.71,658.04,654.49,656.94,4480.042
2026-02-07 03:00,656.94,661.87,656.53,659.14,7170.41
2026-02-07 04:00,659.14,663.88,654.23,656.76,8298.539
2026-02-07 05:00,656.76,659.19,652.96,654.38,9025.351
2026-02-07 06:00,654.39,656.16,643.02,643.21,10547.191
2026-02-07 07:00,643.22,645.28,632.11,638.48,24858.974
2026-02-07 08:00,638.49,641.56,636.17,640.14,7390.479
2026-02-07 09:00,640.14,641.19,634.53,636.23,5051.207
2026-02-07 10:00,636.24,637.25,630.83,634.33,5305.399
2026-02-07 11:00,634.33,636.52,633.54,635.7,3665.831
2026-02-07 12:00,635.71,646.9,635.09,639.08,12830.007
2026-02-07 13:00,639.08,640.63,635.72,638.42,4684.19
2026-02-07 14:00,638.42,639.99,633.82,634.5,5905.357
2026-02-07 15:00,634.51,644.14,633.64,642.29,6341.686
2026-02-07 16:00,642.28,650.0,639.11,643.29,59227.277
2026-02-07 17:00,643.29,648.66,640.07,647.49,3824.275
2026-02-07 18:00,647.49,655.51,646.28,652.34,6587.962
2026-02-07 19:00,652.34,653.42,649.56,650.22,4319.836
2026-02-07 20:00,650.21,654.0,649.25,653.16,2891.883
2026-02-07 21:00,653.2,653.9,649.2,650.08,2447.199
2026-02-07 22:00,650.08,651.88,647.82,648.97,1928.545
2026-02-07 23:00,648.97,649.13,644.08,647.0,2900.93
2026-02-08 00:00,647.01,648.66,645.78,647.28,2877.771
2026-02-08 01:00,647.28,650.73,647.05,649.56,2405.048
2026-02-08 02:00,649.56,651.3,645.16,646.85,3705.451
2026-02-08 03:00,646.85,647.51,642.53,642.77,3027.548
2026-02-08 04:00,642.77,643.85,640.18,643.85,3058.591
2026-02-08 05:00,643.84,644.8,641.9,642.96,1641.556
2026-02-08 06:00,642.97,644.18,640.36,640.58,3332.683
2026-02-08 07:00,640.58,643.41,639.11,643.22,5563.029
2026-02-08 08:00,643.22,650.84,640.82,650.08,6342.14
2026-02-08 09:00,650.09,650.72,640.57,641.73,11904.829
2026-02-08 10:00,641.74,645.11,637.61,639.62,6206.434
2026-02-08 11:00,639.62,646.27,639.25,645.67,5674.426
2026-02-08 12:00,645.67,646.12,642.48,645.25,6495.359
